price,area_sqft,location,bhk,is_resale,amenity_gym,lift,parking,amenity_maintenance,amenity_security,amenity_kids_play,amenity_clubhouse,amenity_intercom,amenity_gardens,amenity_indoor_games,amenity_gas,amenity_jogging,amenity_pool,price_per_sqft,amenity_count
17800000,1716,kharghar,3,0,1,1,1,1,1,0,1,1,1,1,0,1,1,10372.960372960373,9
14000000,1680,kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,8333.333333333334,10
7200000,1050,kharghar,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,6857.142857142857,10
7000000,1100,kharghar,2,0,0,1,1,1,1,0,0,1,1,0,0,1,0,6363.636363636364,5
15000000,1635,kharghar,3,0,1,1,1,1,1,1,0,1,1,0,1,0,1,9174.311926605504,8
10000000,1078,kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,9276.437847866418,10
17500000,1760,kharghar,3,0,1,1,1,1,1,1,1,0,1,0,0,1,1,9943.181818181818,8
11000000,1415,kharghar,3,0,1,1,1,1,1,0,1,1,1,1,0,1,1,7773.851590106007,9
13000000,1800,kharghar,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1,7222.222222222223,9
12500000,1147,kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1,10897.994768962511,9
13000000,1197,kharghar,2,0,1,1,1,1,1,1,0,1,1,0,0,0,1,10860.484544695071,7
15000000,1300,kharghar,3,0,0,1,1,1,1,1,1,1,0,0,0,0,1,11538.461538461539,6
7500000,1050,kharghar,2,0,0,1,1,1,1,0,0,0,0,0,0,1,0,7142.857142857143,3
9500000,1240,kharghar,2,0,1,1,1,1,1,1,1,0,1,1,0,1,1,7661.290322580645,9
5500000,650,kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,8461.538461538461,5
5000000,600,sector_20_kharghar,1,0,0,1,1,1,1,1,0,0,1,0,0,0,0,8333.333333333334,4
5000000,550,kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,9090.90909090909,2
5500000,550,kharghar,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,10000.0,9
4200000,650,kharghar,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,6461.538461538462,3
4200000,646,kharghar,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,6501.547987616099,4
6000000,740,kharghar,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,8108.108108108108,10
5000000,570,kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,8771.929824561403,2
5500000,670,kharghar,1,0,1,1,1,1,1,0,1,0,1,0,0,1,1,8208.955223880597,7
4300000,640,kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1,6718.75,6
15500000,1700,kharghar,3,0,1,1,1,1,1,1,1,1,0,0,1,1,1,9117.64705882353,9
11399999,1550,kharghar,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0,7354.838064516129,4
12000000,1530,kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,7843.137254901961,8
16000000,1750,kharghar,3,0,0,1,1,1,1,0,0,1,0,0,1,0,0,9142.857142857143,4
22000000,1590,kharghar,3,0,1,1,1,1,1,1,1,1,0,1,0,1,1,13836.477987421384,9
11000000,1415,kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,7773.851590106007,10
16600000,1650,kharghar,3,0,1,1,1,1,1,0,1,1,0,0,1,1,1,10060.60606060606,8
14000000,1687,kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8298.755186721992,11
8500000,1150,kharghar,2,0,1,1,1,1,1,1,1,1,0,1,0,1,1,7391.304347826087,9
6000000,555,kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,10810.81081081081,2
4900000,600,kharghar,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,8166.666666666667,8
4200000,646,kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6501.547987616099,2
4500000,650,kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6923.076923076923,2
4300000,640,kharghar,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1,6718.75,7
5500000,650,kharghar,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,8461.538461538461,5
13500000,1400,kharghar,3,0,1,1,1,1,1,1,1,1,0,0,1,1,1,9642.857142857143,9
15000000,1780,kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,8426.966292134832,7
14000000,1687,kharghar,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1,8298.755186721992,10
6900000,1100,kharghar,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0,6272.727272727273,4
8300000,1050,kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,7904.761904761905,10
9000000,1160,kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1,7758.620689655172,8
5100000,700,kharghar,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,7285.714285714285,5
5200000,625,kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,0,1,8320.0,7
5500000,670,kharghar,1,0,1,1,1,1,1,0,1,1,1,0,0,1,1,8208.955223880597,8
5500000,550,kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,10000.0,8
5400000,650,kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,8307.692307692309,3
5300000,660,kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,8030.30303030303,9
5500000,550,kharghar,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,10000.0,8
5000000,570,kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,8771.929824561403,3
14000000,1550,kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,9032.258064516129,10
17100000,1760,kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1,9715.90909090909,7
11800000,1475,kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,8000.0,10
6000000,759,kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,7905.138339920949,9
4850000,600,kharghar,1,0,0,1,1,1,1,1,1,1,1,0,1,1,0,8083.333333333333,8
4500000,550,kharghar,1,0,0,1,1,1,1,0,0,0,1,0,0,0,0,8181.818181818182,3
4100000,620,kharghar,1,0,1,1,1,1,1,0,0,1,0,0,0,0,1,6612.903225806452,5
5000000,550,kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,9090.90909090909,3
5500000,745,kharghar,1,0,0,1,1,1,1,1,0,1,1,0,0,1,0,7382.5503355704695,6
4500000,580,kharghar,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,7758.620689655172,2
5300000,670,kharghar,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,7910.44776119403,8
19000000,1845,kharghar,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1,10298.10298102981,9
13500000,1400,kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,9642.857142857143,8
13600000,1680,kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,8095.238095238095,11
15500000,1645,kharghar,3,0,1,1,1,1,1,0,1,1,0,0,1,1,1,9422.492401215806,8
16500000,1585,kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,10410.094637223974,8
8600000,1350,kharghar,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0,6370.37037037037,4
10000000,1075,kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,9302.32558139535,10
10500000,1155,kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,9090.90909090909,11
4700000,625,kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,7520.0,8
6200000,720,kharghar,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,8611.111111111111,8
4500000,550,kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,8181.818181818182,2
6900000,735,kharghar,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,9387.755102040815,9
4500000,580,kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7758.620689655172,2
10000000,1505,kharghar,3,0,1,1,1,1,1,0,0,0,0,0,0,0,0,6644.518272425249,3
13000000,1630,kharghar,3,0,0,1,1,1,1,0,0,1,1,0,0,0,0,7975.460122699386,4
11000000,1550,kharghar,3,0,1,1,1,1,1,1,0,1,1,0,0,1,0,7096.774193548387,7
13000000,1455,sector_18_kharghar,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0,8934.707903780069,3
10500000,1098,kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1,9562.841530054644,8
13000000,1210,sector_15_kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,0,10743.801652892562,7
9500000,1000,kharghar,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1,9500.0,7
4500000,550,kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0,8181.818181818182,3
13000000,1630,kharghar,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0,7975.460122699386,3
13600000,1680,kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,8095.238095238095,10
16200000,1650,kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1,9818.181818181818,7
15000000,1440,kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1,10416.666666666666,10
13200000,1370,kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,9635.036496350365,8
7500000,1022,sector_18_kharghar,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0,7338.5518590998045,2
9500000,1000,kharghar,2,0,1,1,1,1,1,0,1,0,0,0,0,1,1,9500.0,6
15000000,1760,kharghar,3,0,1,1,1,0,1,1,1,0,0,0,0,1,1,8522.727272727272,6
7500000,1100,kharghar,2,0,0,1,1,1,1,0,0,1,0,0,0,1,1,6818.181818181818,5
13000000,1550,sector_20_kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,0,1,8387.09677419355,7
16200000,1675,kharghar,3,1,1,1,1,1,1,1,1,0,1,1,0,1,1,9671.641791044776,9
11000000,1060,kharghar,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,10377.358490566037,1
11600000,1150,kharghar,2,0,1,1,1,0,1,1,1,0,1,1,0,1,1,10086.95652173913,8
5600000,670,kharghar,1,0,1,1,1,0,1,1,1,0,1,0,0,1,1,8358.208955223881,7
8000000,900,kharghar,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1,8888.888888888889,10
9500000,1088,kharghar,2,0,1,1,1,1,1,1,0,1,1,0,0,1,0,8731.617647058823,7
2018000,375,dombivali,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,5381.333333333333,1
65000000,1200,churchgate,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,54166.666666666664,0
45000000,1717,prabhadevi,3,1,1,0,0,0,0,1,0,0,0,0,0,0,0,26208.5032032615,2
16500000,750,jogeshwari_west,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,22000.0,0
2375000,525,kalyan_east,1,0,1,0,1,0,1,1,1,1,1,1,0,0,1,4523.809523809524,8
19500000,1200,malad_east,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,16250.0,0
2000000,420,virar_east,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4761.9047619047615,0
2500000,540,virar_east,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4629.62962962963,0
2250000,415,virar_east,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5421.686746987952,0
2700000,650,virar,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4153.846153846154,0
22000000,1100,malad_west,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,20000.0,10
17000000,1105,borivali_east,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,15384.615384615385,10
43500000,2600,malad_east,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,16730.76923076923,10
4760000,700,mira_road_east,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,6800.0,3
18100000,1296,goregaon_west,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,13966.04938271605,10
23800000,1638,goregaon_west,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,14529.91452991453,10
21200000,1465,goregaon_west,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,14470.98976109215,10
8600000,700,borivali_east,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,12285.714285714286,10
36500000,2030,goregaon_west,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,17980.295566502464,10
23700000,1450,malad_west,3,1,1,1,1,0,1,1,1,0,1,0,0,1,1,16344.827586206897,7
21400000,1100,malad_west,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,19454.545454545456,10
12500000,800,kandivali_west,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,15625.0,10
18000000,1500,kandivali_west,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,12000.0,10
13200000,1100,kandivali_west,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,12000.0,10
35300000,1962,kandivali_west,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,17991.845056065238,10
15300000,950,borivali_east,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,16105.263157894737,10
25000000,1440,kandivali_west,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,17361.11111111111,10
13899999,1200,kandivali_west,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,11583.3325,10
33500000,1785,borivali_west,3,1,1,1,1,1,1,1,1,1,1,1,0,1,1,18767.50700280112,10
14500000,775,goregaon_west,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,18709.677419354837,10
9000000,765,kandivali_west,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,11764.70588235294,10
13500000,910,goregaon_west,2,1,1,1,1,1,1,1,1,1,1,1,0,1,1,14835.164835164835,10
